,Primary_Artist
Atlantic Starr,90
Andy Grammer,89
Willie Nelson,89
Natalie Merchant,89
The Lumineers,89
Kenny G,89
Childish Gambino,88
Sara Bareilles,88
The Steve Miller Band,88
Boston,88
The B-52s,88
George Michael,88
Dinah Washington,87
Donell Jones,87
Cat Stevens,87
Quincy Jones,87
Old Dominion,87
Twista,87
Evanescence,87
Michelle Branch,87
Lil' Kim,87
Bell Biv DeVoe,86
Lil Nas X,86
The Animals,86
Mike Posner,86
Keyshia Cole,86
Tina Turner,86
The 4 Seasons,86
Reba,85
Roger Miller,85
Al Green,85
The Fixx,85
Beenie Man,85
Nick Jonas,85
Bryson Tiller,85
Ciara,85
Wilson Pickett,84
French Montana,84
Peter Gabriel,84
Plain White T's,83
Blues Traveler,83
Soulja Boy Tell'em,83
Dean Martin,83
Marty Robbins,83
Barenaked Ladies,83
Toad The Wet Sprocket,82
Kodak Black,82
The O'Jays,82
Bachman-Turner Overdrive,82
Incubus,82
Andy Griggs,82
Hailee Steinfeld,82
Warren G,81
Kip Moore,81
Mac Davis,81
Culture Club,81
Engelbert Humperdinck,81
Rick Nelson,81
Bobby Womack,81
Bill Withers,81
Kris Kross,80
Tony Bennett,80
Diamond Rio,80
Dido,80
Tevin Campbell,80
Tamia,79
Phillip Phillips,79
Kane Brown,79
Jesse McCartney,79
Jackson Browne,79
Niall Horan,79
AWOLNATION,79
The Dramatics,79
Billie Eilish,79
Tiffany,79
Finger Eleven,79
Kings Of Leon,79
Scorpions,78
The Script,78
Gino Vannelli,78
Chris Cagle,78
Great White,78
Ella Mai,78
Musiq Soulchild,78
The Dells,77
Yes,77
The Jets,77
Hoobastank,77
Martha,77
Jimmy Dean,77
Johnny Gill,77
Young Money,76
Tracy Chapman,76
CeCe Peniston,76
fun.,76
Kansas,76
Lewis Capaldi,76
Five For Fighting,76
Smash Mouth,76
Dustin Lynch,76
Carole King,76
Asia,76
Logic,76
Jay Sean,76
Poco,76
Shinedown,76
38 Special,76
Rick James,75
Jay,75
The Osmonds,75
Christopher Cross,75
DJ Snake,75
10cc,74
The Staple Singers,74
Sisqo,74
Naughty By Nature,74
Garbage,74
Jack Johnson,74
Lou Rawls,74
Frankie Valli,74
Tove Lo,74
The Brothers Johnson,74
Hooters,74
Firefall,73
Bobby Rydell,73
Kylie Minogue,73
Jim Stafford,73
Debarge,73
Kim Carnes,73
The Bangles,73
Al Martino,73
Dave Matthews Band,73
Eric Carmen,73
Simon,72
"Missy ""Misdemeanor"" Elliott",72
Clay Walker,72
Annie Lennox,72
Snap!,72
The Byrds,72
Wang Chung,72
NF,71
Frankie J,71
Expose,71
Ashlee Simpson,71
Bone Thugs-N-Harmony,71
Marc Anthony,71
Eddie Kendricks,71
The Platters,71
Damn Yankees,71
Carly Rae Jepsen,71
Go-Go's,70
Eurythmics,70
Crowded House,70
Shaggy,70
Breaking Benjamin,70
Winger,70
Tesla,70
Sweet,70
Chaka Khan,70
Melissa Manchester,70
Kris Kristofferson,70
La Bouche,70
Kelly Rowland,70
Depeche Mode,70
Joe Jackson,70
Phil Vassar,70
Brook Benton,70
Lupe Fiasco,70
Young Thug,69
The Jacksons,69
Gordon Lightfoot,69
Bonnie Raitt,69
X Ambassadors,69
Joan Jett,69
Meek Mill,69
The Black Crowes,69
Arrested Development,69
Alanis Morissette,69
The Emotions,68
Village People,68
The Smashing Pumpkins,68
The Association,68
Firehouse,68
Emerson Drive,68
"Peter, Paul",68
Fuel,68
Harry Styles,68
Bad Company,68
Maxi Priest,68
Solomon Burke,68
Billy Stewart,68
Prince And The N.P.G.,68
Klymaxx,68
Samantha Fox,68
System Of A Down,68
Perry Como,67
Fantasia,67
Ringo Starr,67
Rush,67
Michael Buble,67
Booker T.,67
Nirvana,67
will.i.am,67
Mya,67
Travis Scott,67
The Lettermen,67
Craig David,67
Joe Diffie,66
Changing Faces,66
Freddie Jackson,66
Ben E. King,66
Chris Stapleton,66
B2K,66
The Cover Girls,66
Nivea,66
Jessie J,65
Daft Punk,65
Sophie B. Hawkins,65
Terence Trent D'Arby,65
Terri Clark,65
Rick Astley,65
Petey Pablo,65
Vanessa Carlton,65
B.J. Thomas,65
Bow Wow,65
Everything But The Girl,65
Eagles,65
Jet,65
Real McCoy,65
Gin Blossoms,64
Stephen Bishop,64
Roberta Flack,64
ScHoolboy Q,64
Bazzi,64
Orchestral Manoeuvres In The Dark,64
Johnny Rivers,64
The Intruders,64
Busta Rhymes,64
6ix9ine,63
Chris Montez,63
Lynyrd Skynyrd,63
Trapt,63
Bob Welch,63
Player,63
Baby Bash,63
Judy Collins,63
John Lennon,63
Gavin DeGraw,63
The Cure,63
Kid Ink,63
Billy Squier,63
Lloyd,63
Case,62
Seduction,62
Paul McCartney,62
Hinder,62
Alabama,62
Sly,62
David Nail,62
Meat Loaf,62
No Mercy,62
Shaun Cassidy,62
Diddy,62
John Cafferty,62
Miami Sound Machine,62
Pharrell Williams,62
Lost Boyz,61
Lauryn Hill,61
David Banner,61
Erasure,61
Sister Hazel,61
Seal,61
Luis Fonsi,61
WALK THE MOON,61
D'Angelo,61
Beck,61
Immature,61
Go West,60
Lloyd Banks,60
Foghat,60
Gotye,60
Europe,60
Desiigner,60
Billy Ray Cyrus,60
Simply Red,60
Bush,60
21 Savage,60
Owl City,60
Jordin Sparks,60
Puff Daddy,60
Aaron Tippin,60
Counting Crows,60
Nine Inch Nails,60
Fine Young Cannibals,60
Darryl Worley,60
Dawn,59
Pebbles,59
Del Shannon,59
David Lee Roth,59
Sixpence None The Richer,59
White Lion,59
Mr. Mister,59
Dan Hartman,59
Aaron Neville,59
Jack Jones,59
Jan,59
Bad Bunny,58
Westside Connection,58
Spin Doctors,58
Bananarama,58
Petula Clark,58
Sweet Sensation,58
Will To Power,58
